"country","gdp_imf","population","hdi","gdp_per_capita","log_gdp","log_population","log_gdp_per_capita","hdi_category"
"Senegal",36839,18593258,0.53,1981.30956930733,10.5143123455926,16.7383095998559,7.59151330370096,"Low"
"El Salvador",36587,6029976,0.678,6067.52000339636,10.5074482650373,15.6122535885959,8.7107052344056,"Medium"
"Sudan",35897,51662000,0.511,694.843405210793,10.488409005525,17.7602330595554,6.54368650393381,"Low"
"Bosnia and Herzegovina",33237,3412000,0.804,9741.20750293083,10.4114189921888,15.0428091875937,9.18412036255935,"High"
"Papua New Guinea",32714,10185363,0.576,3211.86392669559,10.3955583998185,16.1364622476559,8.0746067101268,"Medium"
"Haiti",30908,11867032,0.554,2604.52655727228,10.3387703290535,16.2892746931971,7.86500619382064,"Medium"
"Albania",29939,2363314,0.81,12668.2277513695,10.3069172572822,14.6755754292708,9.44685238597572,"High"
"Zambia",29369,19693423,0.595,1491.31006834109,10.2876949752644,16.7957952800973,7.30741025313138,"Medium"
"Lebanon",28280,5490000,0.752,5151.1839708561,10.2499101200105,15.5184388134857,8.54698186448907,"High"
"Armenia",27859,3076200,0.811,9056.30323125935,10.2349113529351,14.9392056269998,9.11121628389954,"High"
"Malta",27745,574250,0.924,48315.1937309534,10.23081092276,13.2608201205513,10.7855013601729,"High"
"Guinea",27515,14363931,0.5,1915.56197255473,10.2224865894939,16.4802308306407,7.55776631681742,"Low"
"Burkina Faso",26866,24070553,0.459,1116.13555367839,10.198616825623,16.9964997841526,7.01762759943464,"Low"
"Trinidad and Tobago",26002,1367764,0.807,19010.5895461498,10.1659287371221,14.1286878476624,9.852751447424,"High"
"Mali",25591,22395489,0.419,1142.68547563306,10.1499960061551,16.9243701126162,7.04113645150311,"Low"
"Mongolia",25105,3544835,0.747,7082.13499358926,10.1308223084688,15.0810021724364,8.86533069399671,"High"
"Guyana",25064,772975,0.776,32425.3695138911,10.129187832632,13.55800198552,10.3866964050763,"High"
"Mozambique",24726,34090466,0.493,725.305427036404,10.1156106005669,17.3445283137185,6.58659284481263,"Low"
"Benin",24402,13224860,0.515,1845.16130983617,10.1024203751353,16.3976089496413,7.52032198345829,"Low"
"Jamaica",23137,2774538,0.72,8339.0459961262,10.0491883467077,14.8359948048158,9.02870409985618,"High"
